"Plot2"
"Tiempo (sec)","Reaction Force1 (newton)"
0.346,935.34102131973
0.347,938.632639004898
0.348,942.045547884213
0.349,945.455923929871
0.35,948.893641349419
0.351,952.250960757618
0.352,955.740738583771
0.353,959.284943760091
0.354,962.810507962894
0.355,966.358994589956
0.356,969.926694318988
0.357,973.511970184061
0.358,977.085631483442
0.359,980.707916243205
0.36,984.327226881725
0.361,987.881245789247
0.362,991.573582715133
0.363,995.2185249687
0.364,998.860180841662
0.365,1002.51273567213
0.366,1006.16620676965
0.367,1009.80941248418
0.368,1013.46599828132
0.369,1017.1136400032
0.37,1020.7584550135
0.371,1024.39336515593
0.372,1028.02363000753
0.373,1031.64514497177
0.374,1035.25664427128
0.375,1038.85715928176
0.376,1042.44559470502
0.377,1046.0206757422
0.378,1049.58164344278
0.379,1053.12715309689
0.38,1056.65657587086
0.381,1060.16870535972
0.382,1063.66287517374
0.383,1067.13810782388
0.384,1070.59367902328
0.385,1074.02879309042
0.386,1077.44271750038
0.387,1080.83477973019
0.388,1084.16086173497
0.389,1087.55843091266
0.39,1090.87346329761
0.391,1094.16991651552
0.392,1097.44367457156
0.393,1100.69191595926
0.394,1103.91419311108
0.395,1107.11010600242
0.396,1110.27209763369
0.397,1113.42284977061
0.398,1116.53589105125
0.399,1119.62199101124
0.4,1122.68023671348
0.401,1125.7097703876
0.402,1128.71040944519
0.403,1131.68176520046
0.404,1134.62365067855
0.405,1137.53572078329
0.406,1140.41779304726
0.407,1143.26957557819
0.408,1146.09088490257
0.409,1148.88147826152
0.41,1151.64117548962
0.411,1154.36976972865
0.412,1157.06711202423
0.413,1159.73298022274
0.414,1162.36726214839
0.415,1164.96976353969
0.416,1167.54038976481
0.417,1170.07895555021
0.418,1172.58536851953
0.419,1175.05947145435
0.42,1177.50118628517
0.421,1179.91036542311
0.422,1182.28694302354
0.423,1184.63078493821
0.424,1186.94549454353
0.425,1189.21527006843
0.426,1191.46596946112
0.427,1193.67774557352
0.428,1195.85566206528
0.429,1198.01519868815
0.43,1200.09716489395
0.431,1202.19846872611
0.432,1204.08736668215
0.433,1202.30071780613
0.434,1201.06154504635
0.435,1200.82782498598
0.436,1200.94492943477
0.437,1201.34889360099
0.438,1201.68932665453
0.439,1202.20134077027
0.44,1202.8288972936
0.441,1203.22312000125
0.442,1203.84281503906
0.443,1204.43408809887
0.444,1204.73435391617
0.445,1205.24359638337
0.446,1205.5647538473
0.446806799954921,1307.48903965319
0.447,2276.24846540224
0.448,1225.89421919693
0.449,1213.99072719246
0.45,1218.39041843727
0.451,1226.24163145464
0.452,1210.0322506298
0.453,1212.73995817393
0.454,1215.6410488999
0.454,1215.6410488999
0.455,1218.25209111397
0.456,1221.0378408563
0.457,1223.94900347355
0.458,1226.71773790283
0.459,1229.66096305849
0.46,1232.70193274746
0.461,1235.67651426088
0.462,1238.86031956495
0.463,1241.90318554449
0.464,1245.12606596884
0.465,1248.20673143673
0.466,1251.40327245185
0.467,1254.72048310992
0.468,1258.13694885547
0.469,1262.19502434796
0.47,1263.07197984676
0.471,1263.02761068951
0.472,1263.38168850675
0.473,1263.80282016986
0.474,1264.17450834886
0.475,1264.51427536241
0.476,1264.8271823797
0.477,1265.1135792516
0.478,1265.30782777705
0.479,1265.581681451
0.48,1265.7896235957
0.481,1265.99322320756
0.482,1266.12954639523
0.483,1266.26456049808
0.484,1266.37552702078
0.485,1266.45810952212
0.486,1266.51436704276
0.487,1266.54438335544
0.488,1266.54749881003
0.489,1266.54498067343
0.49,1266.44399180465
0.491,1266.43017123709
0.492,1266.2503543962
0.493,1266.21043670364
0.494,1265.91663203975
0.495,1265.82047475717
0.496,1265.56076317259
0.497,1265.31697297903
0.498,1265.05672085894
0.499,1264.68677265131
0.5,1264.45442519069
0.501,1263.94113146834
0.502,1263.69891653681
0.503,1263.11760588109
0.504,1262.79310536713
0.505,1262.20580683558
0.506,1261.65699161111
0.507,1261.15436184087
0.508,1260.53800813943
0.509,1259.96927020411
0.51,1259.27141278897
0.511,1258.59310158816
0.512,1257.87670957138
0.513,1257.12632077584
0.514,1256.34349684329
0.515,1255.52804888905
0.516,1254.67980437737
0.517,1253.79869624583
0.518,1252.88463385938
0.519,1251.9375356333
0.52,1250.95734663795
0.521,1249.94396793827
0.522,1248.89737204007
0.523,1247.81746244292
0.524,1246.70423694667
0.525,1245.55760751956
0.526,1244.37757409113
0.527,1243.16406665815
0.528,1241.91706453522
0.529,1240.63653780289
0.53,1239.32245319601
0.531,1237.97480729421
0.532,1236.59354988138
0.533,1235.17167276016
0.534,1233.74876780754
0.535,1232.24286945228
0.536,1230.73118704018
0.537,1229.18264640469
0.538,1227.59960545872
0.539,1225.98305182257
0.54,1224.33290686269
0.541,1222.64915721878
0.542,1220.93179728511
0.543,1219.18087052565
0.544,1217.39639729132
0.545,1215.57839274897
0.546,1213.72687890658
0.547,1211.8418821518
0.548,1209.92345779844
0.549,1207.97162018789
0.55,1205.98643250104
0.551,1203.96790796067
0.552,1201.91613519542
0.553,1199.83112061055
0.554,1197.80248874395
0.555,1195.44331700509
0.556,1193.40520740191
0.557,1191.16642140011
0.558,1188.90473468238
0.559,1186.62728048584
0.56,1184.31193158054
0.561,1181.95636028315
0.562,1179.5858909596
0.563,1177.16797505401
0.564,1174.72485680467
0.565,1172.22728600386
0.566,1169.75054446157
0.567,1167.17419051836
0.568,1164.63735823035
0.569,1162.04355766599
0.57,1159.32580595764
0.571,1156.7141845023
0.572,1153.98716746552
0.573,1151.2791744276
0.574,1148.53231721681
0.575,1145.67785439949
0.576,1142.9387120949
0.577,1140.03247441724
0.578,1137.1548615912
0.579,1134.24280124799
0.58,1131.29921085288
0.581,1128.32639767105
0.582,1125.32461863836
0.583,1122.29408318815
0.584,1119.2351124794
0.585,1116.13099792273
0.586,1113.03831939189
0.587,1109.89214901039
0.588,1106.72205414196
0.589,1103.52631366529
0.59,1100.30432878238
0.591,1097.06322773661
0.592,1093.78037999961
0.593,1090.48468684406
0.594,1087.16333129286
0.595,1083.81791995038
0.596,1080.44955799838
0.597,1077.10050892971
0.598,1073.62352429833
0.599,1070.2022152174
0.6,1066.75116631357
0.601,1063.2776186764
0.602,1059.78565291581
0.603,1056.27577207073
0.604,1052.74884393946
0.605,1049.20578000835
0.606,1045.64744368848
0.607,1042.07501875471
0.608,1038.48933933251
0.609,1034.891699235
0.61,1031.28307522475
0.611,1027.66135187845
0.612,1024.03865506277
0.613,1020.4038338227
0.614,1016.76560355104
0.615,1013.11267558032
0.616,1009.4438495891
0.617,1005.82412290468
0.618,1002.17020385614
0.619,998.534445037926
0.62,994.836536033816
0.621,991.208002734844
0.622,987.584416902208
0.623,983.990213259784
0.624,980.323024400137
0.625,976.733276489773
0.626,973.161883523453
0.627,969.564012014447
0.628,965.979354902726
0.629,962.45914734833
0.63,958.950668703865
0.631,955.44179274173
0.632,951.911229067147
0.633,948.467257331492
0.634,945.064655776704
0.635,941.638037148583
0.636,938.32946011096
0.637,934.912986149488
0.638,931.731343699567
0.639,928.410415859496
0.64,925.084716941117
0.641,921.889307101642
0.642,918.874925853511
0.643,915.745574866483
0.644,912.657995429892
0.645,909.411338294528
0.646,906.629529714981
0.647,903.600543637995
0.648,900.781012916339
0.649,897.804030290763
0.65,894.938033828156
0.651,892.141443378085
0.652,889.462573216681
0.653,886.625330254991
0.654,883.946988091892
0.655,881.434794148592
0.656,878.72179937477
0.657,876.338678158597
0.658,873.699486754855
0.659,871.476462634762
0.66,869.079246670369
0.661,866.645823652553
0.662,864.640217141943
0.663,862.411273424647
0.664,860.095290407381
0.665,858.010120270059
0.666,856.316155629375
0.667,854.09908571089
0.668,852.039787936325
0.669,850.578887256983
0.67,848.509873318341
0.671,846.936412946826
0.672,845.315492398196
0.673,843.707920591105
0.674,842.144382177037
0.675,840.938736089233
0.676,839.436342037178
0.677,838.219086200066
0.678,837.002356405686
0.679,835.89513999385
0.68,834.959695664126
0.681,833.833646028409
0.682,833.189234668661
0.683000000000001,832.177901391796
0.684000000000001,831.607006825695
0.685000000000001,831.001240457218
0.686000000000001,830.472858046924
0.687000000000001,830.038858909918
0.688000000000001,829.692136874806
0.689000000000001,829.43296297739
0.690000000000001,829.26107580681
0.691000000000001,829.177394496819
0.692000000000001,829.181070800594
0.693000000000001,829.272777607664
0.694000000000001,829.451645447417
0.695000000000001,829.718357056938
0.696000000000001,830.071715208969
0.697000000000001,830.518885249913
0.698000000000001,831.035824906569
0.699000000000001,831.648865266695
0.700000000000001,832.345219533407
0.701000000000001,833.117486701731
0.702000000000001,834.001983672551
0.703000000000001,834.941660645732
0.704000000000001,835.966816867182
0.705000000000001,837.07260056741
0.706000000000001,838.299652052546
0.707000000000001,839.513510072421
0.708000000000001,840.806448771402
0.709000000000001,842.315702358657
0.710000000000001,843.866285717893
0.711000000000001,845.392308431957
0.712000000000001,847.003315005117
0.713000000000001,848.746683664683
0.714000000000001,850.487881815993
0.715000000000001,852.355351360381
0.716000000000001,854.288467033
0.717000000000001,856.126757729522
0.718000000000001,858.388921873478
0.719000000000001,860.220277643725
0.720000000000001,862.607830386466
0.721000000000001,864.698149129316
0.722000000000001,866.808600944494
0.723000000000001,869.218503886884
0.724000000000001,871.810818977109
0.725000000000001,873.808807772889
0.726000000000001,876.594741121732
0.727000000000001,879.029512282694
0.728000000000001,881.59949046568
0.729000000000001,884.376130741488
0.730000000000001,886.986021647369
0.731000000000001,889.689047526434
0.732000000000001,892.5141247638
0.733000000000001,895.369165814768
0.734000000000001,898.130490715464
0.735000000000001,901.015991571782
0.736000000000001,903.906982758564
0.737000000000001,907.049465305047
0.738000000000001,909.771024283307
0.739000000000001,912.983430650395
0.740000000000001,916.084358038672
0.741000000000001,919.072966529934
0.742000000000001,922.28926238119
0.743000000000001,925.552530824871
0.744000000000001,928.836973074865
0.745000000000001,931.916093593038
0.746000000000001,935.371723734554
0.747000000000001,938.66423241923
0.748000000000001,942.105663623194
0.749000000000001,945.453632409499
0.75,948.932460750883
